carta,era,cargo,peso_sorteio,peso_dramatico,tipo,total_2000_carreiras,Destro (r1),Destro (r2),Canhoto (r1),Canhoto (r2),Vitinho (r1),Vitinho (r2),Dembele (r1),Dembele (r2),Viciado (r1),Viciado (r2),Elon Musk (r1),Elon Musk (r2),Gabigol (r1),Gabigol (r2),CR7 (r1),CR7 (r2),Diego Ribas (r1),Diego Ribas (r2),Bruno (r1),Bruno (r2)
sucessor_declinio_06,declinio,sucessor,9,padrao,evento,61,0,0,0,0,0,0,0,0,11,18,0,0,0,0,0,0,0,0,18,14
sucessor_declinio_07,declinio,sucessor,12,padrao,evento,21,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,2,2
sucessor_declinio_08,declinio,sucessor,6,padrao,rotina,42,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,7,12
sucessor_legado_01,legado,sucessor,12,legado,arco,85,0,0,0,0,0,0,0,0,15,31,0,0,0,0,0,0,0,0,20,19
sucessor_legado_02,legado,sucessor,10,padrao,evento,78,0,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,0,0,17,21
sucessor_legado_03,legado,sucessor,11,padrao,evento,71,0,0,0,0,0,0,0,0,16,19,0,0,0,0,0,0,0,0,16,20
sucessor_legado_04,legado,sucessor,10,padrao,evento,12,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3
sucessor_legado_05,legado,sucessor,16,importante,arco,92,0,0,0,0,0,0,0,0,17,29,0,0,0,0,0,0,0,0,21,25
sucessor_legado_06,legado,sucessor,9,padrao,evento,67,0,0,0,0,0,0,0,0,14,20,0,0,0,0,0,0,0,0,13,20
transferencia_sobe,base/estouro/travessia/auge/declinio/legado,empresario,0,importante,arco,1311,20,26,12,27,36,35,39,24,281,289,40,51,6,10,17,12,28,23,155,180
transferencia_desce,base/estouro/travessia/auge/declinio/legado,empresario,0,importante,arco,97,0,0,0,1,1,0,6,1,14,10,6,3,0,0,0,0,0,0,23,32
treinador_estreia,estouro,treinador,14,padrao,evento,291,9,6,0,4,6,8,13,7,51,51,20,12,0,0,0,0,8,7,48,41
treinador_banco,declinio,treinador,12,importante,evento,77,0,0,0,0,0,0,0,0,17,19,0,0,0,0,0,0,0,0,21,20
treinador_estouro_01,estouro,treinador,10,padrao,evento,227,5,4,0,2,10,14,9,7,33,40,10,11,0,0,0,0,5,6,31,40
treinador_estouro_02,estouro/travessia,treinador,6,padrao,rotina,260,4,2,0,0,6,8,8,7,51,56,4,3,0,0,0,0,8,5,52,46
treinador_estouro_03,estouro,treinador,10,padrao,evento,244,8,7,0,1,6,8,5,13,36,38,7,8,0,0,0,0,4,10,47,46
treinador_travessia_01,travessia/auge,treinador,12,importante,arco,221,1,0,0,0,0,0,2,0,63,60,0,0,0,0,0,0,1,0,43,51
treinador_travessia_02,travessia/auge,treinador,10,padrao,evento,194,0,0,0,0,1,0,2,1,54,51,0,0,0,0,0,0,0,0,41,44
treinador_travessia_03,travessia/auge/declinio,treinador,6,padrao,rotina,181,1,0,0,0,0,0,2,0,50,45,0,0,0,0,0,0,0,0,38,45
treinador_travessia_04,travessia,treinador,10,padrao,evento,173,0,0,0,0,0,0,3,1,48,49,0,0,0,0,0,0,0,0,29,43
treinador_auge_01,auge,treinador,10,padrao,evento,74,0,0,0,0,0,0,0,0,20,17,0,0,0,0,0,0,0,0,18,19
treinador_auge_02,auge,treinador,10,padrao,evento,82,0,0,0,0,0,0,1,0,24,21,0,0,0,0,0,0,0,0,12,24
treinador_auge_03,auge,treinador,9,padrao,evento,81,0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,13,23
treinador_auge_04,auge/declinio,treinador,6,padrao,rotina,108,0,0,0,0,0,0,0,0,32,38,0,0,0,0,0,0,0,0,15,23
treinador_auge_05,auge,treinador,9,padrao,evento,80,0,0,0,0,0,0,0,0,21,29,0,0,0,0,0,0,0,0,13,17
treinador_declinio_01,declinio,treinador,12,importante,arco,67,0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,16,15
treinador_declinio_02,declinio,treinador,10,legado,evento,57,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,15,18
treinador_declinio_03,declinio,treinador,6,padrao,rotina,46,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,13,14
treinador_declinio_04,declinio,treinador,13,legado,arco,73,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,14,19
treinador_rangel_01,estouro,treinador,10,padrao,evento,88,4,4,0,1,4,2,0,4,16,16,3,3,0,0,0,0,4,1,14,12
treinador_rangel_02,travessia,treinador,10,padrao,evento,61,0,2,0,0,0,0,1,0,16,13,0,0,0,0,0,0,0,0,13,16
treinador_rangel_03,auge,treinador,10,padrao,evento,34,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,9,6
treinador_rangel_04,declinio,treinador,11,padrao,evento,24,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,9,6
treinador_rangel_05,declinio,treinador,10,padrao,evento,21,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,7,6
treinador_iracema_01,estouro,treinador,10,padrao,evento,72,0,2,0,1,5,1,3,4,8,15,2,2,0,0,0,0,3,3,12,11
treinador_iracema_02,travessia/auge,treinador,12,legado,arco,57,0,0,0,0,0,0,2,0,10,22,1,0,0,0,0,0,0,0,12,10
treinador_iracema_03,auge,treinador,10,padrao,evento,28,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,2,7
treinador_iracema_04,auge,treinador,11,legado,evento,21,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,5,4
treinador_iracema_05,declinio,treinador,10,padrao,evento,25,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,5,5
treinador_pecanha_01,estouro,treinador,10,padrao,evento,93,4,1,1,0,3,2,5,4,17,12,8,2,0,0,0,0,3,1,13,17
treinador_pecanha_02,travessia,treinador,10,padrao,evento,59,0,0,0,0,1,0,0,0,19,11,0,0,0,0,0,0,0,0,12,16
treinador_pecanha_03,auge,treinador,10,padrao,evento,28,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,4,11
treinador_pecanha_04,auge,treinador,10,padrao,evento,37,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,4,10
treinador_pecanha_05,declinio,treinador,11,padrao,evento,29,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,7,8
